name,description,color,lat,lon,img,link,bastina
"Pomorski muzej u Dubrovniku","Specijalizirani muzej koji prikuplja, obrađuje, izlaže i objavljuje muzejsku građu iz pomorske prošlosti dubrovačkoga kraja od antičkih vremena do suvremene povijesti, osnovan 1949.",blue,42.6399383977158,18.112236152119763,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/PAH_1467.jpg,https://tehnika.lzmk.hr/pomorski-muzej-u-dubrovniku/,Muzeji
"Pomorski muzej Orebić","Specijalizirani muzej osnovan 1957., koji predstavlja pomorsku, gospodarsku i kulturnu prošlost Orebića, Pelješca i Dubrovačko-neretvanske županije.",blue,42.97417821036983,17.17951433161277,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1413.jpg,https://tehnika.lzmk.hr/pomorski-muzej-orebic/,Muzeji
"Zavod za povijesne znanosti Hrvatske akademije znanosti i umjetnosti u Zadru","Dio Akademije posvećen sustavnom istraživanju povijesti grada Zadra i njegove šire okolice, osnovan 1954. u Zadru kao Institut Jugoslavenske akademije znanosti i umjetnosti.",blue,44.12196890725307,15.22545358907958,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1690.jpg,https://tehnika.lzmk.hr/zavod-za-povijesne-znanosti-hrvatske-akademije-znanosti-i-umjetnosti-u-zadru/,Muzeji
"Povijesni i pomorski muzej Istre","Javna muzejska ustanova koja se bavi poviješću Istre i grada Pule srednjega i novoga vijeka, osnovana 1955. u Puli kao Muzej narodnooslobodilačke borbe Istre.",blue,44.87046560948597,13.845535866912442,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1436.jpg,https://tehnika.lzmk.hr/povijesni-i-pomorski-muzej-istre-u-puli/,Muzeji
"Prehrambeno-biotehnološki fakultet","Visokoškolska i znanstvenoistraživačka ustanova u sastavu Sveučilišta u Zagrebu.",blue,45.8068432141573,15.964283934002522,https://tehnika.lzmk.hr/wp-content/uploads/2021/03/HTE2_1718.jpg,https://tehnika.lzmk.hr/prehrambeno-biotehnoloski-fakultet-u-zagrebu/,Ustanove
"Prehrambeno-tehnološki fakultet Osijek","Visokoškolska i znanstvenoistraživačka ustanova Sveučilišta u Osijeku.",blue,45.56063632338563,18.69353720698288,https://tehnika.lzmk.hr/wp-content/uploads/2022/01/HTE2_2672.jpg,https://tehnika.lzmk.hr/prehrambeno-tehnoloski-fakultet-osijek/,Ustanove
"Ribarska zbirka Komiža","Dio Ribarskoga muzeja u Komiži na otoku Visu otvorenog 1986., koja predstavlja komišku ribarsku brodicu, gajetu falkušu.",blue,43.043925443849965,16.088391292824628,,https://tehnika.lzmk.hr/ribarska-zbirka-komiza/,Muzeji
"Rimac Automobili d. o. o.","Tvrtka za proizvodnju električnih vozila i proizvoda te pružanje usluga u automobilskoj industriji, osnovana 2009. sa sjedištem u Svetoj Nedelji.",blue,45.80057280570508,15.791542980363223,https://tehnika.lzmk.hr/wp-content/uploads/2017/12/HTE_0679.jpg,https://tehnika.lzmk.hr/rimac-automobili/,Poduzeća
"Rudarsko-geološko-naftni fakultet","Visokoškolska i znanstvenoistraživačka ustanova u sastavu Sveučilišta u Zagrebu osnovana 1964.",blue,45.806871370690615,15.964236450998001,https://tehnika.lzmk.hr/wp-content/uploads/2022/03/HTE2_2931.jpg,https://tehnika.lzmk.hr/rudarsko-geolosko-naftni-fakultet-u-zagrebu/,Ustanove
"Saponia d. d.","Poduzeće za proizvodnju deterdženata, proizvoda za osobnu higijenu i sredstava za čišćenje u kućanstvu i industriji.",blue,45.554575756628225,18.72086556438031,https://tehnika.lzmk.hr/wp-content/uploads/2020/02/HTE2_0293.jpg,https://tehnika.lzmk.hr/saponia-d-d/,Poduzeća
"Sardina d.o.o.","Poduzeće za uzgoj, ulov i preradbu ribe koje je 1907. u Postirama na Braču osnovao bečki industrijalac Carl Warhanek.",blue,43.37068508723901,16.62258772010149,https://tehnika.lzmk.hr/wp-content/uploads/2021/01/HTE2_1379.jpg,https://tehnika.lzmk.hr/sardina-postira/,Poduzeća
"Spačva d. d.","Drvnoindustrijsko poduzeće osnovano u Vinkovcima 1956.",blue,45.29521202351881,18.78252354434626,https://tehnika.lzmk.hr/wp-content/uploads/2022/03/HTE2_2926.jpg,https://tehnika.lzmk.hr/spacva-vinkovci/,Poduzeća
"Spin Valis d. d.","Drvnoinustrijsko poduzeće iz Požege, osnovano 1950.",blue,45.33872805739109,17.689033791465466,https://tehnika.lzmk.hr/wp-content/uploads/2022/03/HTE2_2944.jpg,https://tehnika.lzmk.hr/spin-valis-pozega/,Poduzeća
"Strojarski fakultet u Slavonskom Brodu","Visokoškolska i znanstvena ustanova u sastavu Sveučilišta Josipa Jurja Strossmayera u Osijeku, osnovana 1962.",blue,45.15526678140587,18.022074793670118,https://tehnika.lzmk.hr/wp-content/uploads/2017/12/HTE_0578.jpg,https://tehnika.lzmk.hr/strojarski-fakultet-u-slavonskom-brodu/,Ustanove
"Sveučilište u Dubrovniku","Visokoobrazovna ustanova osnovana 2003. u Dubrovniku koja provodi sveučilišne i stručne preddiplomske studije, sveučilišne i specijalističke diplomske studije te međusveučilišne poslijediplomske studije iz područja tehničkih, prirodnih i društvenih znanosti.",blue,42.644118133305945,18.100283442859254,https://tehnika.lzmk.hr/wp-content/uploads/2017/12/HTE_0535.jpg,https://tehnika.lzmk.hr/sveuciliste-u-dubrovniku/,Ustanove
